name,excerpt,description,inspiration_id,created_at,updated_at,question,factor,code
Directly responsible individual,A decision-making framework,"Make better decisions by clarifying who owns the decision and providing transparency about the process. A DRI (Directly Responsible Individual) grid method can facilitate more open and clear decision-making. The DRI grid is shared with everyone in the organization and records who owns each decision, key stakeholders, their feedback and possible alternative decisions. This framework empowers the DRI and enables everyone to understand and support important decisions.",89bf6653-bd98-41fa-94c7-ae1484c21e75,2017-08-17T11:02:20.284676,2018-01-25T04:20:45.837197,We have enough autonomy to perform our jobs effectively,,ENA.4
No meeting Wednesdays,Free up time for the 'makers' to make,"Provide employees with the time to focus on execution. One company uses ""No Meeting Wednesdays"" to make sure employees have the time to focus on getting things done. The company acknowledges that managers spend most of their time in meetings while other employees, that they called ""makers,"" need uninterrupted time to make.",cd794049-d6a0-4e59-ada2-ecbe932dada1,2017-08-17T11:02:28.519474,2018-01-25T04:20:45.839175,We have enough autonomy to perform our jobs effectively,,ENA.4
Swap worst tasks,Swap your least favorite tasks and see if they can be improved,"Create empathy and understanding by 'working in someone else's shoes'. Encourage employees to swap their least favorite tasks for a week. The goal is for each person to identify a better way of getting the task done by the end of the week. People get better visibility into the not-so-pleasant parts of each role. Additionally, fresh eyes can often lead to new ideas.",3d227a78-2002-4ef4-98c6-03347faa866c,2017-08-17T11:00:35.852625,2018-01-25T04:20:45.771215,Most of the systems and processes here support us getting our work done effectively,,ENA.5
Meeting Manifesto,Improve meeting effectiveness,"Improve meeting effectiveness using clear guidelines. One company developed a meeting manifesto which outlines what a quality meeting looks like and keeps the end goal and objective of the meeting in mind. For each meeting, the meeting owner is challenged to identify the purpose, key decision makers and clearly state why each person has been invited.",2110915a-35aa-4f18-9efc-e18e8a814f89,2017-08-17T11:00:45.739845,2018-01-25T04:20:45.794087,Most of the systems and processes here support us getting our work done effectively,,ENA.5
What's in the toolshed?,Take inventory of tools,"Take inventory of the tools and resources people use to identify those that are most valuable. One organization documents all the systems being used and each department gives a rating on each tool. Based on the rating they decide which tools to start, stop and continue using. This could be rolled out to frequently-used resources as well.",ee56489b-1a43-4028-9c8f-9bbd80dfe5b8,2017-08-17T11:02:11.153881,2018-01-25T04:20:45.802149,Most of the systems and processes here support us getting our work done effectively,,ENA.5
Swimlane planning,Process mapping exercise,"Share how internal processes are working (or not working) and collaborate on improvements. One organization maps out their most common processes in swimlane diagrams (see https://en.wikipedia.org/wiki/Swim_lane). They take care to map processes that have previously not worked well. With the diagram as a guide, they discuss them in all hands meetings and other organization-wide forums so that all employees can provide input into ways to improve.",5e41e005-e16b-464b-9969-77d560d8c6f5,2017-08-17T11:02:14.381111,2018-01-25T04:20:45.836556,Most of the systems and processes here support us getting our work done effectively,,ENA.5
Process hackathon,Use diverse perspectives to improve processes,"Bring together diverse perspectives to improve company processes. One organization holds an annual hackathon to improve processes. Each department chooses their least-favorite process (large departments can choose more than one). Cross-functional teams are formed with people from different departments and each team discusses how to improve one process. In addition to helping to improve efficiency, this also leads to greater empathy with colleagues.",8967feca-5e3f-4239-9c55-91abb8a1e9e5,2017-08-17T11:02:16.008224,2018-01-25T04:20:45.821444,Most of the systems and processes here support us getting our work done effectively,,ENA.5
Internal tools teams,Clarifying tools needed to enable efficient work,"Assess and acquire the right tools. One organization has an internal tools team to evaluate and acquire tools. The team improves processes and buys software to reduce manual labor, facilitate employee and organizational growth and reduce employee burnout.",2b5eb144-16ff-4f3b-9f44-c65677384a70,2017-08-17T11:02:23.561600,2018-01-25T04:20:45.837858,Most of the systems and processes here support us getting our work done effectively,,ENA.5
Collaboration software,Make the most up-to-date information accessible for all,Ensure employees have most accurate information. One company had a third party vendor create an intranet. Information is clearly organized and easily accessible for all employees. There is dynamic file storage so that people can always see the most up-to-date information. It also acts as a forum for employees to give feedback through comments and likes.,b550475e-0731-417e-af41-8e046e7b3a39,2017-08-17T11:02:26.047713,2018-01-25T04:20:45.838528,Most of the systems and processes here support us getting our work done effectively,,ENA.5
No meeting Wednesdays,Free up time for the 'makers' to make,"Provide employees with the time to focus on execution. One company uses ""No Meeting Wednesdays"" to make sure employees have the time to focus on getting things done. The company acknowledges that managers spend most of their time in meetings while other employees, that they called ""makers,"" need uninterrupted time to make.",cd794049-d6a0-4e59-ada2-ecbe932dada1,2017-08-17T11:02:28.519474,2018-01-25T04:20:45.839175,Most of the systems and processes here support us getting our work done effectively,,ENA.5
Office hacker' team,A team focused on resolving issues quickly,Create a team that identifies blockers and has the remit to address them. One organization has an 'office hacker' team. Their sole responsibility is to find out what's not working and make it work. They track employee requests via an electronic ticketing system and have tackled large and small projects. One project was measuring company waste to better understand and improve sustainability.,edd951fc-5865-419a-b61d-7fc22dc68b06,2017-08-17T11:02:31.952757,2018-01-25T04:20:45.839857,Most of the systems and processes here support us getting our work done effectively,,ENA.5
Inclusivity check for tools and systems,Ensuring fairness in internal tools and systems,"Ensure that internal tools and systems are designed to support everyone equally. One company set up a team to evaluate their internal systems to ensure that their tools and processes were fair and accessible to everyone. Their compensation and promotion systems have been configured to show pay differences and promotion density by ethnicity, gender and other demographics. They check all of their tools, systems, and internal processes regularly to make sure everyone is included.",3764677a-79a7-4239-a506-6fbbc18ebdb6,2017-08-17T11:06:52.462179,2018-01-25T04:20:46.007151,Most of the systems and processes here support us getting our work done effectively,,ENA.5
Lapel pins,Visibly recognize progress toward meeting objectives,"Institute a program of visible recognition for employees and teams that have met certain business objectives. Lapel or lanyard pins, medals, even stickers can be used to visibly signify that an employee has accomplished a specific objective, such as going 100 days without a safety incident, exhibiting a company value, or having a 90% or above perfect order rate. Badges on internal networking pages can also be used to recognize publicly the work of an employee.",01b60e18-6da6-4740-9718-657907e7e16f,2017-08-17T11:02:50.965246,2018-01-25T04:20:45.845953,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Consider employee preferences,Align recognition approach with employee preference,"Investigate and understand how employees want to be recognized and design reward programs to align with their interests. One option is to set-up a committee that gathers feedback from employees on meaningful types of recognition and then identifies rewards within a set budget that align to employee values and interests. In getting to know what is important and valuable to employees, the organization ensures that rewards have the intended motivational impact.",b6ec8ba0-118b-4581-888f-affb0eafe09b,2017-08-17T11:02:53.388603,2018-01-25T04:20:45.860815,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Recognizing progress,Recognize progress publicly,"Recognize support in achieving key business objectives through a simple public notice system. With the help of your employees, determine several business objectives that could be met by each employee this quarter. Utilize a public display (an office whiteboard, bulletin board or intranet site) where you add stars or some marker of success for each employee (and the group as a whole) when they hit their objectives.",2d7030d8-89ad-4c91-acda-798a866186da,2017-08-17T11:02:55.037237,2018-01-25T04:20:45.870212,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Public recognition,Reward exceptional effort,"During all company meetings this company gives out awards to recognize exceptional employees. Prior to the meeting, the awards are developed and communicated. Employees are then asked to send in nominations. Those nominations are compiled and the executives make the final decision and announcement during the all company meeting. Team Level: During department or team level meetings this company gives out awards to recognize exceptional employees. Prior to the meeting, the awards are developed and communicated. Employees are then asked to send in nominations. Those nominations are compiled and the department manager or team lead communicates the final selection.",8ff31550-73ea-4708-9f46-259d127dff09,2017-08-17T11:03:01.552493,2018-01-25T04:20:45.864146,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Employee of the month,Nominate an employee of the month,Nominate an employee each month. One company's engagement committee created a voting process where anyone in the organization can nominate a colleague for an employee of the month award. The leadership team then selects a winner from the nominees.,21bb0b81-eb3e-412a-a17d-8e6faae0a3ce,2017-08-17T11:03:04.005269,2018-01-25T04:20:45.871556,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Everyday peer recognition,Recognize employees using internal communication software,Recognize employees every day using internal communication software. One company uses a 'Shoutout' channel on their internal office communication software that provides an outlet for a quick thank you and recognition to anyone else in the company. It has become their most popular channel.,8867e326-fa43-407a-abd4-7fa06e589989,2017-08-17T11:03:06.432689,2018-01-25T04:20:45.881022,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Recognition via personal experiences,Recognize top performance through story telling,Tell stories to recognize top performance. One company uses a 'praise' channel on their internal communication platform to facilitate quick and visible recognition. A formal reward/recognition program follows based on 'praise' callouts in the form of a quarterly nomination progress (nominations by peers). Those nominating employees for rewards need to clearly articulate which company value the person embodies through a story.,ae3fbeba-a43a-4f8b-9223-6f0b284338b5,2017-08-17T11:03:09.063644,2018-01-25T04:20:45.881723,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Personalized recognition,Ask your employees about how they prefer to be recognized,"Get to know how each employee prefers to receive recognition, and then document and store these preferences for when an employee is to be recognized. This includes understanding how they like to receive recognition (e.g. in public or one-on-one) and how they like to be rewarded (e.g. vacation days, bonus, dinner, flowers, gifts). This information is stored across the company, so as employees move teams, their recognition preferences go with them.",1ea5dcec-a94d-42df-8104-1f85f43c22d9,2017-08-17T11:03:24.660313,2018-01-25T04:20:45.904245,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Thank you round,End each meeting with a quick thank you round,Give employees a chance to recognize others in the business in a simple and public way. End each meeting with a lightning thank you round. It's a quick and easy way to thank individuals for their great work while also celebrating successes.,ed12a30a-26cd-45be-a777-10acf36a57a9,2017-08-17T11:03:26.276492,2018-01-25T04:20:45.861490,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Project-based recognition norms,Establish recognition norms based on projects,"Establish reward and recognition programs at a project level. Project-based recognition programs enable more real-time and intentional praise and recognition from project leaders and/or peers. This can be shared during or at the conclusion of a project, and is always communicated to all project team members and relevant managers. This approach encourages collaboration across teams and ensures peer and project lead recognition for performance.",6008dc8e-fc71-4731-9b27-f6036b0cea20,2017-08-17T11:03:29.726948,2018-01-25T04:20:45.896903,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Rewarding V2.0,Setup an employee committee to find creative ways to reward top performance,"Find new and creative ways to reward top performance at your company that fits your culture and employee interests. The more aligned rewards are with employee interests the more successful the reward program will be. One company set up a ""rewards committee"" made up of interested employees across functions to evaluate available rewards. Some companies reward employees with adventurous experiences, some by donating to an employee's selected social cause, or providing work time to give back to community, and even (extra) work time for personal development. The most important thing is having employees involved in the selection process to ensure alignment of possible rewards that will fit with employee interests.",5bc61e87-87db-4829-bff5-401802755e0a,2017-08-17T11:03:33.022397,2018-01-25T04:20:45.905014,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Team-level awards,"Recognize teams as a group, not individuals","Encourage teamwork by recognizing team effort above individual effort. One company awards teams that surpass business objectives, or come up with the most creative solution to difficult business problems. The awards are presented in public forums and are associated with a clear description of what the team achieved and how they worked together to achieve it. Recognizing the team as a whole incentivizes collaboration and effective teamwork.",a4bf8897-26fc-40d0-ae76-2f9c8e72790a,2017-08-17T11:06:44.314163,2018-01-25T04:20:46.004349,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Wall of Compliments,Give kudos and feedback to colleagues in a public space,"Build a wall of compliments in the center of your workspace. Use the wall as an opportunity to give kudos to a colleague for work well done, and to open up the room to also include constructive feedback. To ensure a nurturing atmosphere, one company encourages giving positive praise in public, while reserving negative yet constructive feedback for a private conversation.",cddc7801-da6a-440f-9a12-6a58f0ef4be2,2018-02-22T22:31:13.743993,2018-02-22T22:31:13.758182,I receive appropriate recognition for good work at %ACCOUNT_NAME%,,FEE.1
Reward transparency,Enable greater understanding of pay decisions,"Create greater transparency and understanding for how pay raises and bonuses are applied. At one company, during the performance review process each employee was given a packet with their feedback and details on their merit increases and bonus; it explained the precise formula for how their bonus and merit raise was calculated. Because the formula was the same for everyone, it increased the perceived fairness of company-wide compensation.",6da11d9e-edb5-4ff5-a528-a350f15cf958,2017-08-17T11:03:10.674993,2018-01-25T04:20:45.889646,My job performance is evaluated fairly,,FEE.2
Frequent pay calibrations,Increase the cadence of calibrations,"Instead of yearly pay calibrations, consider more frequent check-ins. This approach of more frequent salary checks is based on the thinking that the moment you realize an employee deserves a raise, they should receive it. The longer between that realization and the raise, the more time the employee has to feel that their contributions are not being fairly compensated. In a highly competitive job market this can lead to regrettable turnover that could have otherwise been addressed.",4747dcbb-eb90-4f9c-8e83-50d583757ca4,2017-08-17T11:03:38.125572,2018-01-25T04:20:45.897757,My job performance is evaluated fairly,,FEE.2
Unconscious bias training,Unconscious bias training,"Address bias in the workplace by training individuals to become more aware of their subconscious biases. One company has its workforce participate in unconscious bias training to become aware of how stereotypes affect behavior. All managers are required to go through the training. As part of the training, everyone has breakout discussions to talk about what they have learned about unconscious biases and how they might impact their workplace, employees and candidates.",b9367ce3-454d-4fe1-bc80-3e5b53910aad,2017-08-17T11:03:40.772677,2018-01-25T04:20:45.847360,My job performance is evaluated fairly,,FEE.2
Mentorship program,Lightweight coaching for junior level employees,"Create a mentorship program for junior and mid-level employees (a cohort that is often left out of formal mentorship opportunities). One organization implemented a lightweight program that provides coaching through electronic channels, including email and texting. This pilot is an alternative to immediately investing in more heavyweight learning and development initiatives like facilitated classes.",d370ded5-bf4a-4fb4-95e3-12b30903fc76,2017-08-17T11:02:34.396377,2018-01-25T04:20:46.397131,When it is clear that someone is not delivering in their role we do something about it,,FEE.3
Probationary voting,Team members vote prior to an official offer,"Invite team members to provide input on whether new coworkers have successfully completed their probationary period. One organization has team members vote on whether the organization should make an official offer for full employment to someone completing probation. The organization believes that this approach shows current employees that their opinion is valued; and ensures people who successfully complete probation know that they are fully accepted by their teammates. This approach requires careful consideration of how it could impact employee behavior or be viewed as a popularity contest. To ensure the system is fair, have mechanisms in place for the new employee to receive feedback throughout their probationary period and require that all votes be accompanied by specific examples of behavior.",f36f3e90-6fc8-4152-9172-bf13d7c2ae76,2017-08-17T11:03:21.397989,2018-01-25T04:20:45.896181,When it is clear that someone is not delivering in their role we do something about it,,FEE.3
Role refresh,Re-engage employee through a role refresh,"Knowing how to approach an employee's underperformance can be difficult for even the most successful managers. A role refresh provides an opportunity for both manager and the person who is perceived to be underperforming to approach the issues from a different perspective. What if you were to redesign their role? By floating this idea, you'll have an opportunity to discuss with the person what might be contributing to their underperformance and how a revised set of responsibilities might help them improve. If you both decide to refresh their role, create a position description with clear performance expectations together. Set a clear timeline for implementation. Define what success looks like and record the way forward in writing. Schedule check-in dates to review progress. The overall feeling should be as if the person is starting a new job.",276d9623-6e63-45d2-b3ba-38aa8b9cf041,2017-08-17T11:03:23.036406,2018-01-25T04:20:45.884177,When it is clear that someone is not delivering in their role we do something about it,,FEE.3
Termination explanations,Giving employees more information about why a termination occurred,"Provide as much detail as possible to people at your organization on why a termination has occurred to avoid rumors and encourage the right behaviors. When an organization has to let someone go because they are not delivering, the traditional approach is to provide relatively generic communications to the team (for example, ""Joe found another opportunity and we wish them all the best.""). Instead, consider using clearer communications which include more detail about the reason for someone's departure. Communicating a reason for termination, including underperformance, can help employees understand that they are working in an organization that sets high standards.",6f94343e-e9e5-4e69-a69d-7613e969214f,2017-08-17T11:03:36.375298,2018-01-25T04:20:45.872238,When it is clear that someone is not delivering in their role we do something about it,,FEE.3
Career jungle gym,Communicate role descriptions and opportunities,"Create a clear way to communicate all development opportunities. One company developed what they call a Career Jungle Gym, which is a career pathing document that clearly lays out opportunities across the organization. The Career Jungle Gym will often differ depending on function and role and covers topics such as expected behaviors, scope, responsibilities, leadership traits, and independence/autonomy. This can also be used as a foundation to talk about new opportunities where an employee is not the right fit for a given role.",b02af541-1830-4e81-805c-f946389d9f85,2017-08-17T11:04:42.655216,2018-01-25T04:20:45.924199,When it is clear that someone is not delivering in their role we do something about it,,FEE.3
Customized career templates,Use customized templates for focused career conversations,Providing customized career conversation templates helps facilitate career development conversations between managers and employees. Templates are customized depending on the employee's goals (e.g. gain leadership skills or transfer to a new department). Career conversation templates are useful to guide both performance reviews and employee check-ins.,5e60d313-dc64-4d30-a7d0-16401f4863f9,2017-08-17T11:04:50.188388,2018-01-25T04:20:45.937619,When it is clear that someone is not delivering in their role we do something about it,,FEE.3
Better one-on-one meetings,Create more effective one-on-one meetings,"Embedding a consistent practice of one-on-one meetings throughout an organization is a key component of performance management. At one company, managers and individual contributors are trained on what how to run effective one-on-one meetings. This company formed a team to help develop new content to help managers in their one-on-one meetings, including: what makes a great one-on-one meeting, what types of conversations to have, a manager checklist, dos and don'ts, and a bank of questions to use to stimulate the right conversations. Geographically dispersed organizations may want to ensure there are one-on-one meeting champions in each location to assist managers with new training and tools. Executives should also be encouraged to role-model effective one-on-one practices.",36461586-c18f-415c-9c4c-932f83088838,2017-08-17T11:05:28.287519,2018-01-25T04:20:45.927706,When it is clear that someone is not delivering in their role we do something about it,,FEE.3
Role narratives,Go beyond tasks to describe the mission of each role,"Create role narratives for everyone on your team. Role narratives describe expectations of each role more broadly than a list of responsibilities, which is often seen in job descriptions. A role narrative is a simple one-page description that helps a hiring manager narrow in on and articulate the purpose of a role, as well as what success looks like in both the short term and long term. A role narrative will typically include: title, mission, 12 month vision, key outcomes and decision scope. It may also include a team mission and how the role contributes to the success of the team.",d7e4c3ca-b6a6-44b6-b85c-93f79ee664a7,2018-06-08T02:19:59.165708,2018-06-08T02:19:59.172295,When it is clear that someone is not delivering in their role we do something about it,,FEE.3
Retrospective awards,Encouraging more learning from past processes,"To ensure learnings are shared across teams, one organization's product managers report the results of retrospective exercises to the entire organization. Originally introduced to improve information sharing, this initiative has resulted in solutions being discussed by everyone and prevention of having to learn the same lesson twice.",8b4897fb-8bae-4b6e-a4c9-c55ed535c07d,2017-08-17T11:01:55.947753,2018-01-25T04:20:45.811839,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
The kudos channel,Create a channel for product/service recognition,"To acknowledge outstanding service one organization has a 'Kudos' channel on their internal communication tool. Whenever positive feedback is received about the product or a team member, it gets posted for everyone to see. This helps everyone realize the value and service they bring to customers. At the end of each quarter, the team member with the most customer kudos is given an award. Team Level: If you receive enough customer feedback, you can create a #Kudos channel for just your team.",7b4b88d0-c3aa-4a7f-9e81-3313d25ad306,2017-08-17T11:02:48.532679,2018-01-25T04:20:45.845286,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Lapel pins,Visibly recognize progress toward meeting objectives,"Institute a program of visible recognition for employees and teams that have met certain business objectives. Lapel or lanyard pins, medals, even stickers can be used to visibly signify that an employee has accomplished a specific objective, such as going 100 days without a safety incident, exhibiting a company value, or having a 90% or above perfect order rate. Badges on internal networking pages can also be used to recognize publicly the work of an employee.",01b60e18-6da6-4740-9718-657907e7e16f,2017-08-17T11:02:50.965246,2018-01-25T04:20:45.845953,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Recognizing progress,Recognize progress publicly,"Recognize support in achieving key business objectives through a simple public notice system. With the help of your employees, determine several business objectives that could be met by each employee this quarter. Utilize a public display (an office whiteboard, bulletin board or intranet site) where you add stars or some marker of success for each employee (and the group as a whole) when they hit their objectives.",2d7030d8-89ad-4c91-acda-798a866186da,2017-08-17T11:02:55.037237,2018-01-25T04:20:45.870212,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Celebrate small wins,Recognizing impact of non-customer facing roles,"Celebrate and communicate small wins that positively impact internal stakeholders using organization-wide forums. Highlight how people's accomplishments contribute to internal efficiency, improve quality and reduce internal bottlenecks. Consider this approach for employees in internal support roles like shared services.",8300fecf-daf4-41d0-8cd7-1c65703a728c,2017-08-17T11:02:57.481998,2018-01-25T04:20:45.870877,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Recognition event,Monthly recognition event,Having a schedule of events where employees are recognized for their work ensures intentionality and follow-through. One organization has monthly recognition events. They recognize good work and highlight what people are working on and how it's helping the organization deliver on its mission and work toward its vision.,e8764c5f-e836-40c8-b50a-047a9deeba8f,2017-08-17T11:02:59.108408,2018-01-25T04:20:45.846645,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Employee of the month,Nominate an employee of the month,Nominate an employee each month. One company's engagement committee created a voting process where anyone in the organization can nominate a colleague for an employee of the month award. The leadership team then selects a winner from the nominees.,21bb0b81-eb3e-412a-a17d-8e6faae0a3ce,2017-08-17T11:03:04.005269,2018-01-25T04:20:45.871556,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Everyday peer recognition,Recognize employees using internal communication software,Recognize employees every day using internal communication software. One company uses a 'Shoutout' channel on their internal office communication software that provides an outlet for a quick thank you and recognition to anyone else in the company. It has become their most popular channel.,8867e326-fa43-407a-abd4-7fa06e589989,2017-08-17T11:03:06.432689,2018-01-25T04:20:45.881022,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Peer recognition,Employees nominate individuals who exemplify company values,"Enable employees to recognize people who exemplify company values. One organization has awards connected to their three values. Employees nominate individuals whose behaviors during that quarter demonstrate one of the company values. The previous quarter award winners then choose the winners in the current quarter. The awards are presented at the quarterly all hands meeting, along with a picture of the winner reimagined as a superhero by the creative director.",e17e80a1-a9a9-489f-ae95-b9b90843fa4e,2017-08-17T11:03:13.137470,2018-01-25T04:20:45.895437,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Shark tank style competition,Cross-functional teams pitch award ideas,"Encourage employees to pitch ideas to executives in a ""Shark Tank-style"" competition. At one company cross-fuctional teams were formed to build ideas to pitch to the ""Sharks"" - a collection of senior leaders. This program encouraged cross-functional collaboration, healthy competition and recognition of great ideas. Once an idea was selected, resources were made available to implement.",58f77db6-d764-4827-9c13-ada9d996f512,2017-08-17T11:03:14.763822,2018-01-25T04:20:45.882793,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Thank you cards,Facilitate peer-to-peer thank yous via values templates,Facilitate a peer recognition program using thank you cards. One organization provides cards for people to complete and hand-deliver. The HR team creates templates that link to the company values and current organizational objectives so that cards clearly call out exemplary behaviors.,5944a9a3-5be0-4841-aad1-4e5da9ebe34d,2017-08-17T11:03:17.210649,2018-01-25T04:20:45.883469,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Wow! Wall,Develop a physical space to recognize your exceptional employees,Develop a physical space where you can recognize people. One company has a Wow! Wall where people can post stories when coworkers have gone above and beyond. The wall is in a high-traffic area so everyone can casually pass by and read about the great work of their colleagues.,5980ce2c-a789-4ce5-a55c-d92a5d1ab9c7,2017-08-17T11:03:18.955911,2018-01-25T04:20:45.890377,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Rewarding V2.0,Setup an employee committee to find creative ways to reward top performance,"Find new and creative ways to reward top performance at your company that fits your culture and employee interests. The more aligned rewards are with employee interests the more successful the reward program will be. One company set up a ""rewards committee"" made up of interested employees across functions to evaluate available rewards. Some companies reward employees with adventurous experiences, some by donating to an employee's selected social cause, or providing work time to give back to community, and even (extra) work time for personal development. The most important thing is having employees involved in the selection process to ensure alignment of possible rewards that will fit with employee interests.",5bc61e87-87db-4829-bff5-401802755e0a,2017-08-17T11:03:33.022397,2018-01-25T04:20:45.905014,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Internal job board,Post big and small opportunities internally prior to publicly,"Ensure all employees are given a fair chance to move into new roles within the organization. After receiving feedback that opportunities were not being made available to employees on merit, one company set up a jobs board. All open jobs are posted internally, enabling employees to apply based on perceived skill fit. All applicants are considered before external recruitment is commenced.",9ab28f2f-428b-4340-9aed-aba370107d02,2017-08-17T11:05:18.383468,2018-01-25T04:20:45.975638,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Team-level awards,"Recognize teams as a group, not individuals","Encourage teamwork by recognizing team effort above individual effort. One company awards teams that surpass business objectives, or come up with the most creative solution to difficult business problems. The awards are presented in public forums and are associated with a clear description of what the team achieved and how they worked together to achieve it. Recognizing the team as a whole incentivizes collaboration and effective teamwork.",a4bf8897-26fc-40d0-ae76-2f9c8e72790a,2017-08-17T11:06:44.314163,2018-01-25T04:20:46.004349,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
Evaluate the Promotion Process,Calibrate promotion processes across demographics,"Calibrate all processes involved during a promotion evaluation. Many companies calibrate by department, team, and location. Progressive calibration processes also evaluate across gender, race/ethnicity, remote workers and other demographics. The main point is to promote employees based on a more comprehensive picture of your company structure, and to make sure to include those on parental leave and careers leave.",c6ab9266-a729-4614-8019-e1250559f030,2018-02-22T22:31:15.676187,2018-02-22T22:31:15.689085,"Generally, the right people are rewarded and recognized at %ACCOUNT_NAME%",,FEE.4
One day hackathon,Engineering team focused hackathon,Enable teams to work on passion projects that they really care about. Some organizations hold quarterly one-day hackathons are held and engineers are encouraged to take the day to pursue a project or innovation idea that is not within the scope of their normal day-to-day work. Engineers pitch their work to the others at the end of the day to share their work and identify the next steps that could be taken to see the project through.,dee6e4e7-a969-495e-93f8-0069e3f958f8,2017-08-17T11:03:44.041026,2018-01-25T04:20:45.891156,At %ACCOUNT_NAME% we act on promising new or innovative ideas,,INN.1
Project week,See a project through end-to-end working cross-functionally,"Focus on project implementation from design to delivery in a single week. One company holds a project week once a year where teams with diferent functions work together to design, pitch and implement work that is achievable in a single week and requires cross-functional involvement. Project week encourages cross-functional collaboration and enables implementation of innovative ideas.",932ead36-5b15-454b-bef5-ff3e5ff5d9e3,2017-08-17T11:03:51.392359,2018-01-25T04:20:45.862157,At %ACCOUNT_NAME% we act on promising new or innovative ideas,,INN.1
Exploration day,Stepping outside the daily work routine to learn,"Learn something new and different to provide a unique perspective on your work. Some of the best innovations happen when people step outside their daily routines and try something completely new. One organization has an exploration day when people try something different that is not work-related. It can be done on an individual basis but many employees opt to team up and explore together so that they can share ideas and learnings. At the end of the day, everyone reports back what they did, what they learned and any new or interesting surprises along the way.",c4bd3c52-a215-487b-b53e-d0eda1c76e32,2017-08-17T11:03:53.854896,2018-01-25T04:20:45.872890,At %ACCOUNT_NAME% we act on promising new or innovative ideas,,INN.1
Big idea day,Ask your employees for their big ideas,"Invite people to provide their ideas for solving challenging business opportunities. One organization holds 'The big idea day' each year. Employees pitch innovative ideas to a panel of executives. The pitch takes five minutes and then the pitching team answers questions from the executives for another five minutes. At the end of the day, the best idea is selected and that employee is awarded budget to turn their idea into reality over the next year.",8f46e886-2fd4-472a-8359-915f4dbde5eb,2017-08-17T11:03:57.151208,2018-01-25T04:20:45.848088,At %ACCOUNT_NAME% we act on promising new or innovative ideas,,INN.1
Customer events,Connect employees with the community more formally,"Connect employees to the customers in your community in a formal in-person way to build empathy and engagement. One company hosts community events, inviting customers as well as prospects. The event usually includes a panel discussion or a keynote speaker about a topic related to their product. It's a great way for employees to engage with customers and see the impact of the product or service they offer. Additionally, employees get useful feedback on requested changes to the product (or service delivery model) and how it compares to competitors' offerings.",2ba55fb5-6ce0-467f-aff5-f15be370cbba,2017-08-17T11:06:18.093269,2018-01-25T04:20:45.995472,At %ACCOUNT_NAME% we act on promising new or innovative ideas,,INN.1
Dragon's Den Battle,Use pitching ideas to bring about improvement and innovation,"Organize a Dragon Den's battle session to create ideas for improvement or innovation. Idea owners can contribute ideas and battle each other for ""best improvement"" awards and ""most innovative"" awards. The winner gets to see their idea come to life. Advise Dragons to be open-minded, encouraging, and to challenge participants to demonstrate high quality ideas.",fbdde9cf-fe56-4a35-b896-c8f36aeb2171,2018-02-22T22:31:34.676054,2018-02-22T22:31:34.681996,At %ACCOUNT_NAME% we act on promising new or innovative ideas,,INN.1
